run,block,tier,said_inside,truth_inside,block_time,slowest_visible,confidence
L1_run_001,S10,B,1,0,366.7,332.3,0.24
L1_run_001,S14;S15,C,0,0,291.8,332.3,0.284
L1_run_002,S05,B,0,0,118.0,306.7,1.0
L1_run_002,S14;S15,C,0,0,155.7,306.7,1.0
L1_run_003,S02,B,1,0,331.6,211.6,1.0
L1_run_003,S12,B,0,0,71.2,211.6,1.0
L1_run_003,S17,B,0,0,69.2,211.6,1.0
L1_run_004,S04,B,0,0,182.6,218.4,0.314
L1_run_004,S10;S11,C,0,0,66.1,218.4,1.0
L1_run_005,S09;S10,C,1,0,271.8,268.9,0.021
L1_run_005,S16,B,0,0,69.4,268.9,1.0
L1_run_006,S11,B,0,0,99.3,257.8,1.0
L1_run_006,S17;S18,C,0,0,76.0,257.8,1.0
L1_run_007,S13,B,0,0,104.7,266.2,1.0
L1_run_007,S17;S18,C,0,0,81.9,266.2,1.0
L1_run_008,S05;S06;S07,C,0,0,219.7,322.7,0.663
L1_run_009,S07,B,0,0,68.0,353.1,1.0
L1_run_009,S10,B,0,0,58.4,353.1,1.0
L1_run_009,S15,B,0,0,89.7,353.1,1.0
L1_run_010,S04;S05,C,0,0,135.2,202.2,0.903
L1_run_010,S12,B,1,0,350.6,202.2,1.0
L1_run_011,S06,B,1,0,354.8,233.9,1.0
L1_run_011,S08,B,0,0,199.0,233.9,0.334
L1_run_011,S19,B,0,0,88.2,233.9,1.0
L1_run_012,S11,B,0,0,80.7,277.8,1.0
L1_run_012,S13;S14,C,0,0,82.9,277.8,1.0
L1_run_013,S02,B,1,0,295.9,267.4,0.261
L1_run_013,S11,B,0,0,73.3,267.4,1.0
L1_run_013,S14,B,0,0,103.7,267.4,1.0
L1_run_014,S09,B,0,0,327.8,346.7,0.127
L1_run_014,S13;S14,C,0,0,337.4,346.7,0.063
L1_run_015,S02,B,0,0,298.4,353.4,0.266
L1_run_015,S05,B,1,0,426.1,353.4,0.353
L1_run_015,S07,B,1,0,449.2,353.4,0.465
L1_run_016,S07;S08,C,1,0,246.9,245.3,0.014
