run,at_s,buffer,station,predicted_min,actual_min,confidence
L1_run_001,4200,B10,S10,10.7,1.3,0.355
L1_run_001,4200,B14,S14,41.7,,0.03
L1_run_001,5100,B14,S14,7.0,,0.425
L1_run_001,5100,B16,S16,13.2,,0.309
L1_run_001,8700,B03,S03,13.1,4.866666666666666,0.228
L1_run_001,9600,B13,S13,8.6,23.55,0.426
L1_run_001,10500,B09,S09,5.3,2.4833333333333334,0.579
L1_run_001,10500,B05,S05,40.8,45.583333333333336,0.037
L1_run_001,11400,B04,S04,21.4,6.383333333333334,0.13
L1_run_001,19500,B14,S14,16.8,4.483333333333333,0.165
L1_run_001,20400,B06,S06,24.4,2.283333333333333,0.086
L1_run_001,21300,B04,S04,8.8,7.25,0.376
L1_run_001,26700,B14,S14,18.9,6.45,0.351
L1_run_002,5100,B09,S09,6.1,47.21666666666667,0.582
L1_run_002,7800,B02,S02,28.3,14.883333333333333,0.008
L1_run_002,7800,B16,S16,36.8,35.7,0.007
L1_run_002,8700,B08,S08,19.7,,0.136
L1_run_002,8700,B03,S03,33.6,26.65,0.144
L1_run_002,9600,B12,S12,23.4,31.65,0.066
L1_run_002,11400,B12,S12,33.5,1.65,0.05
L1_run_002,12300,B10,S10,12.3,3.566666666666667,0.271
L1_run_002,13200,B09,S09,13.7,10.166666666666666,0.308
L1_run_002,15000,B19,S19,14.0,,0.018
L1_run_002,19500,B12,S12,10.2,3.283333333333333,0.277
L1_run_003,2400,B08,S08,19.4,,0.411
L1_run_003,2400,B01,S01,32.4,31.316666666666666,0.18
L1_run_003,3300,B07,S07,30.6,42.666666666666664,0.054
L1_run_003,4200,B01,S01,32.6,1.3166666666666667,0.037
L1_run_003,6000,B15,S15,12.6,,0.268
L1_run_003,6900,B04,S04,13.1,24.65,0.255
L1_run_003,7800,B05,S05,3.5,9.166666666666666,0.24
L1_run_003,7800,B07,S07,12.9,,0.048
L1_run_003,8700,B03,S03,12.3,12.7,0.294
L1_run_003,10500,B08,S08,5.7,20.016666666666666,0.627
L1_run_003,13200,B03,S03,14.3,,0.214
L1_run_003,14100,B16,S16,5.1,,0.655
L1_run_003,14100,B02,S02,15.2,36.61666666666667,0.195
L1_run_003,15000,B02,S02,15.7,21.616666666666667,0.026
L1_run_003,15000,B07,S07,16.3,46.666666666666664,0.023
L1_run_003,16800,B19,S19,6.5,13.316666666666666,0.362
L1_run_003,17700,B03,S03,13.7,28.35,0.183
L1_run_003,18600,B05,S05,8.2,2.066666666666667,0.326
L1_run_003,22200,B02,S02,27.6,5.316666666666666,0.176
L1_run_003,24000,B17,S17,15.6,34.81666666666667,0.025
L1_run_003,24000,B12,S12,27.9,,0.022
L1_run_004,3300,B12,S12,26.2,,0.081
L1_run_004,6000,B05,S05,32.5,,0.053
L1_run_004,7800,B07,S07,22.7,41.65,0.017
L1_run_004,9600,B12,S12,11.9,9.083333333333334,0.372
L1_run_004,13200,B18,S18,11.1,11.733333333333333,0.247
