run,block,station,p60,became
L1_run_001,2,S12,0.295,0
L1_run_001,2,S03,0.267,0
L1_run_001,2,S11,0.001,0
L1_run_001,2,S01,0.0,0
L1_run_001,2,S02,0.0,0
L1_run_001,2,S04,0.0,0
L1_run_001,2,S06,0.0,0
L1_run_001,2,S07,0.0,0
L1_run_001,2,S08,0.0,0
L1_run_001,2,S09,0.0,0
L1_run_001,2,S13,0.0,0
L1_run_001,2,S16,0.0,0
L1_run_001,2,S17,0.0,0
L1_run_001,2,S18,0.0,0
L1_run_001,2,S19,0.0,0
L1_run_001,2,S20,0.0,1
L1_run_001,3,S01,0.0,0
L1_run_001,3,S02,0.0,0
L1_run_001,3,S03,0.0,0
L1_run_001,3,S04,0.0,0
L1_run_001,3,S05,0.0,0
L1_run_001,3,S06,0.0,0
L1_run_001,3,S07,0.0,0
L1_run_001,3,S08,0.0,0
L1_run_001,3,S09,0.0,0
L1_run_001,3,S11,0.0,0
L1_run_001,3,S12,0.0,0
L1_run_001,3,S13,0.0,0
L1_run_001,3,S16,0.0,0
L1_run_001,3,S17,0.0,0
L1_run_001,3,S18,0.0,0
L1_run_001,3,S19,0.0,0
L1_run_001,4,S01,0.0,0
L1_run_001,4,S02,0.0,0
L1_run_001,4,S03,0.0,0
L1_run_001,4,S04,0.0,0
L1_run_001,4,S05,0.0,0
L1_run_001,4,S06,0.0,0
L1_run_001,4,S07,0.0,0
L1_run_001,4,S08,0.0,0
L1_run_001,4,S09,0.0,0
L1_run_001,4,S11,0.0,0
L1_run_001,4,S12,0.0,0
L1_run_001,4,S13,0.0,0
L1_run_001,4,S16,0.0,0
L1_run_001,4,S17,0.0,0
L1_run_001,4,S18,0.0,0
L1_run_001,4,S19,0.0,0
L1_run_001,5,S03,0.517,0
L1_run_001,5,S17,0.073,0
L1_run_001,5,S01,0.0,0
L1_run_001,5,S02,0.0,0
L1_run_001,5,S04,0.0,0
L1_run_001,5,S05,0.0,0
L1_run_001,5,S06,0.0,0
L1_run_001,5,S07,0.0,0
L1_run_001,5,S08,0.0,0
L1_run_001,5,S09,0.0,0
L1_run_001,5,S11,0.0,0
L1_run_001,5,S12,0.0,0
L1_run_001,5,S13,0.0,0
L1_run_001,5,S16,0.0,0
L1_run_001,5,S18,0.0,0
L1_run_001,5,S19,0.0,0
L1_run_001,6,S01,0.0,0
L1_run_001,6,S02,0.0,0
L1_run_001,6,S03,0.0,0
L1_run_001,6,S04,0.0,0
L1_run_001,6,S05,0.0,0
L1_run_001,6,S06,0.0,0
L1_run_001,6,S07,0.0,0
L1_run_001,6,S08,0.0,0
L1_run_001,6,S09,0.0,0
L1_run_001,6,S11,0.0,0
L1_run_001,6,S12,0.0,0
L1_run_001,6,S13,0.0,0
L1_run_001,6,S16,0.0,0
L1_run_001,6,S17,0.0,0
L1_run_001,6,S18,0.0,0
L1_run_001,6,S19,0.0,0
L1_run_002,2,S18,0.161,0
L1_run_002,2,S10,0.094,0
L1_run_002,2,S02,0.0,0
L1_run_002,2,S03,0.0,0
L1_run_002,2,S04,0.0,0
L1_run_002,2,S06,0.0,0
L1_run_002,2,S07,0.0,0
L1_run_002,2,S08,0.0,0
L1_run_002,2,S09,0.0,0
L1_run_002,2,S11,0.0,0
L1_run_002,2,S12,0.0,0
L1_run_002,2,S13,0.0,0
L1_run_002,2,S16,0.0,0
L1_run_002,2,S17,0.0,0
L1_run_002,2,S19,0.0,1
L1_run_002,2,S20,0.0,0
L1_run_002,3,S01,0.0,0
L1_run_002,3,S02,0.0,0
L1_run_002,3,S03,0.0,0
L1_run_002,3,S04,0.0,0
L1_run_002,3,S06,0.0,0
L1_run_002,3,S07,0.0,0
L1_run_002,3,S08,0.0,0
L1_run_002,3,S09,0.0,0
L1_run_002,3,S10,0.0,0
L1_run_002,3,S11,0.0,0
L1_run_002,3,S12,0.0,0
L1_run_002,3,S13,0.0,0
L1_run_002,3,S16,0.0,0
L1_run_002,3,S17,0.0,0
L1_run_002,3,S18,0.0,0
L1_run_002,3,S20,0.0,0
L1_run_002,4,S19,0.538,1
L1_run_002,4,S01,0.0,0
L1_run_002,4,S02,0.0,0
L1_run_002,4,S03,0.0,0
L1_run_002,4,S04,0.0,0
L1_run_002,4,S06,0.0,0
L1_run_002,4,S07,0.0,0
L1_run_002,4,S08,0.0,0
L1_run_002,4,S09,0.0,0
L1_run_002,4,S10,0.0,0
L1_run_002,4,S11,0.0,0
L1_run_002,4,S12,0.0,0
L1_run_002,4,S13,0.0,0
L1_run_002,4,S16,0.0,0
L1_run_002,4,S17,0.0,0
L1_run_002,4,S18,0.0,0
L1_run_002,5,S20,0.413,0
L1_run_002,5,S03,0.234,0
L1_run_002,5,S09,0.153,0
L1_run_002,5,S11,0.141,0
L1_run_002,5,S12,0.126,0
L1_run_002,5,S02,0.016,0
L1_run_002,5,S18,0.012,0
L1_run_002,5,S13,0.002,0
L1_run_002,5,S01,0.0,0
L1_run_002,5,S04,0.0,0
L1_run_002,5,S06,0.0,0
L1_run_002,5,S07,0.0,0
L1_run_002,5,S08,0.0,0
L1_run_002,5,S10,0.0,0
L1_run_002,5,S16,0.0,0
L1_run_002,5,S17,0.0,0
L1_run_002,6,S12,0.621,0
L1_run_002,6,S11,0.497,0
L1_run_002,6,S09,0.459,0
L1_run_002,6,S13,0.004,0
L1_run_002,6,S17,0.004,0
