station,dark_in_runs,dark_share,mean_horizon_vehicles,attention_share,device,cost_inr,exposure_inr,value_per_rupee,window
S14,22,18.3,1.36,5.11,photoeye,18000,55626,3.09,1
S16,22,18.3,1.36,4.89,photoeye,18000,54813,3.05,1
S05,24,20.0,1.29,4.97,photoeye,18000,52198,2.9,1
S09,19,15.8,1.21,5.99,photoeye,18000,52259,2.9,1
S07,18,15.0,1.22,5.55,photoeye,18000,51328,2.85,2
S04,19,15.8,1.26,4.89,photoeye,18000,50772,2.82,2
S17,27,22.5,1.26,4.9,photoeye,18000,50651,2.81,2
S11,20,16.7,1.25,4.92,photoeye,18000,50368,2.8,2
S18,20,16.7,1.25,4.73,photoeye,18000,49723,2.76,3
S06,17,14.2,1.18,5.43,photoeye,18000,49016,2.72,3
S13,17,14.2,1.18,4.87,photoeye,18000,47242,2.62,3
S08,13,10.8,1.08,6.14,photoeye,18000,46920,2.61,3
S10,25,20.8,1.2,4.31,photoeye,18000,46354,2.58,3
S03,17,14.2,1.18,4.37,photoeye,18000,45655,2.54,3
S12,21,17.5,1.14,4.7,photoeye,18000,45373,2.52,3
S19,18,15.0,1.0,6.41,photoeye,18000,44310,2.46,3
S02,18,15.0,1.17,3.79,photoeye,18000,43451,2.41,3
S15,23,19.2,1.09,4.65,photoeye,18000,43001,2.39,3
