buffer_id,level,capacity,t_s
B01,1,1,58
B01,0,1,62
B01,1,1,111
B02,1,2,112
B02,0,2,115
B01,0,1,115
B01,1,1,164
B02,1,2,165
B01,0,1,168
B03,1,3,171
B02,0,2,171
B03,0,3,174
B03,1,3,219
B01,1,1,220
B02,1,2,224
B01,0,1,224
B04,1,3,225
B03,0,3,225
B04,0,3,227
B02,0,2,227
B05,1,3,274
B01,1,1,278
B05,0,3,279
B03,1,3,279
B02,1,2,284
B01,0,1,284
B02,0,2,286
B06,1,2,329
B01,1,1,330
B04,1,3,331
B03,0,3,331
B04,0,3,334
B06,0,2,335
B03,1,3,340
B02,1,2,342
B01,0,1,342
B02,0,2,345
B05,1,3,383
B05,0,3,386
B07,1,1,391
B04,1,3,391
B03,0,3,391
B01,1,1,392
B04,0,3,394
B07,0,1,397
B03,1,3,399
B02,1,2,399
B01,0,1,399
B02,0,2,401
B06,1,2,433
B06,0,2,440
B04,1,3,443
B03,0,3,443
B01,1,1,448
B02,1,2,450
B01,0,1,452
B08,1,2,453
B03,1,3,455
B02,0,2,455
B08,0,2,456
B05,1,3,460
B04,0,3,460
B05,0,3,464
B01,1,1,494
B07,1,1,505
B09,1,3,506
B04,1,3,506
B03,0,3,506
B03,1,3,506
B02,1,2,509
B01,0,1,509
B09,0,3,511
B07,0,1,511
B06,1,2,512
B02,0,2,512
B05,1,3,514
B04,0,3,514
B05,0,3,518
B06,0,2,519
B01,1,1,553
B02,1,2,557
B01,0,1,557
B08,1,2,562
B06,1,2,564
B08,0,2,565
B05,1,3,570
B03,2,3,570
B02,0,2,570
B07,1,1,571
B06,0,2,571
B05,0,3,575
B04,1,3,575
B03,1,3,575
B07,0,1,578
B04,0,3,578
B10,1,2,580
B10,0,2,583
B01,1,1,609
B02,1,2,614
B01,0,1,614
B06,1,2,619
B09,1,3,623
B03,2,3,627
B02,0,2,627
B09,0,3,628
B08,1,2,629
B08,0,2,631
B07,1,1,633
B06,0,2,633
B11,1,2,639
B07,0,1,640
B04,1,3,642
B03,1,3,642
B05,1,3,644
B11,0,2,645
B04,0,3,645
B05,0,3,648
B01,1,1,663
B02,1,2,669
B01,0,1,669
B03,2,3,682
B02,0,2,682
B09,1,3,684
B07,1,1,686
B10,1,2,687
B08,1,2,688
B10,0,2,690
B09,0,3,690
B08,0,2,691
B06,1,2,691
B07,0,1,692
B05,1,3,694
B06,0,2,696
B04,1,3,696
B03,1,3,696
B05,0,3,700
B04,0,3,700
B01,1,1,707
B12,1,2,709
B12,0,2,714
B02,1,2,732
B01,0,1,732
B03,2,3,736
B02,0,2,736
B09,1,3,741
B11,1,2,748
B10,1,2,748
B09,0,3,748
B04,1,3,748
B03,1,3,748
B06,1,2,750
B10,0,2,751
B11,0,2,753
B07,1,1,754
B06,0,2,755
B08,1,2,756
B08,0,2,758
B07,0,1,758
B05,1,3,759
B04,0,3,759
B13,1,3,760
B05,0,3,763
B13,0,3,764
B01,1,1,770
B02,1,2,784
B01,0,1,784
B03,2,3,790
B02,0,2,790
B11,1,2,803
B10,1,2,809
B12,1,2,810
B11,0,2,810
B07,1,1,811
B10,0,2,812
B12,0,2,813
B04,1,3,813
B03,1,3,813
B09,1,3,814
B08,1,2,815
B08,0,2,817
B07,0,1,817
B09,0,3,818
B05,1,3,818
B04,0,3,818
B06,1,2,821
B05,0,3,822
B01,1,1,822
B06,0,2,828
B02,1,2,834
B01,0,1,834
B14,1,3,835
B14,0,3,838
B03,2,3,849
B02,0,2,849
B12,1,2,863
B06,1,2,863
B11,1,2,865
B04,1,3,865
B03,1,3,865
B09,1,3,868
B13,1,3,869
B12,0,2,869
B10,1,2,869
B11,0,2,871
B10,0,2,872
B13,0,3,874
B09,0,3,874
B01,1,1,880
B05,1,3,881
B04,0,3,881
B05,0,3,885
B08,1,2,886
B08,0,2,888
B02,1,2,895
B01,0,1,895
B07,1,1,899
B06,0,2,899
B03,2,3,901
B02,0,2,901
B15,1,1,902
B07,0,1,904
B15,0,1,908
B13,1,3,921
B04,1,3,923
B03,1,3,923
B12,1,2,932
B14,1,3,935
B13,0,3,935
B10,1,2,935
B12,0,2,936
B01,1,1,936
B06,1,2,937
B14,0,3,938
B11,1,2,939
B10,0,2,939
B09,1,3,944
B05,1,3,944
