station_id,state,t_s
S20,starved,-2.058396708206806
S19,starved,2.609399724929532
S18,starved,-2.2840421591474023
S17,starved,2.8628592071014216
S16,starved,-2.7878420024255206
S13,starved,-2.9069113201626036
S12,starved,1.226974598344997
S11,starved,0.949857930325757
S09,starved,0.28341792754197925
S08,starved,-0.33615799669348867
S07,starved,-1.1766303197643782
S06,starved,-0.686136665780662
S05,starved,-2.0122486698913615
S04,starved,-0.12479232919477123
S03,starved,-1.88686774469047
S02,starved,-0.8658670128251966
S01,working,0.5970176258893862
S02,working,61.1341329871748
S02,starved,111.13413298717481
S03,working,113.11313225530952
S02,working,114.13413298717481
S02,starved,164.1341329871748
S02,working,167.1341329871748
S04,working,173.87520767080522
S03,starved,217.11313225530952
S05,working,224.98775133010864
S03,working,225.11313225530952
S05,starved,271.98775133010867
S06,working,278.3138633342193
S03,starved,277.11313225530955
S03,working,284.11313225530955
S06,starved,328.3138633342193
S05,working,331.98775133010867
S07,working,333.8233696802356
S03,starved,338.11313225530955
S03,working,343.11313225530955
S05,starved,380.98775133010867
S06,working,385.3138633342193
S07,starved,389.8233696802356
S05,working,391.98775133010867
S08,working,396.6638420033065
S03,starved,397.11313225530955
S03,working,399.11313225530955
S06,starved,432.3138633342193
S07,working,438.8233696802356
S02,starved,449.1341329871748
S02,working,451.1341329871748
S08,starved,452.6638420033065
S09,working,456.28341792754196
S06,working,463.3138633342193
S07,starved,503.8233696802356
S09,starved,506.28341792754196
S03,starved,504.11313225530955
S08,working,510.6638420033065
S06,starved,511.3138633342193
S03,working,510.11313225530955
S06,working,517.3138633342194
S07,working,517.8233696802356
S08,starved,561.6638420033065
S06,starved,563.3138633342194
S09,working,565.283417927542
S05,starved,567.9877513301086
S06,working,574.3138633342194
S08,working,577.6638420033065
S05,working,575.9877513301086
S11,working,583.9498579303257
S06,starved,618.3138633342194
S09,starved,623.283417927542
S08,starved,628.6638420033065
S09,working,631.283417927542
S11,starved,639.9498579303257
S08,working,639.6638420033065
S05,starved,641.9877513301086
S12,working,646.226974598345
S05,working,642.9877513301086
S06,working,647.3138633342194
S09,starved,684.283417927542
S07,starved,684.8233696802356
S08,starved,687.6638420033065
S11,working,690.9498579303257
S09,working,691.283417927542
S06,starved,690.3138633342194
S08,working,691.6638420033065
S05,starved,691.9877513301086
S07,working,694.8233696802356
S06,working,699.3138633342194
S05,working,697.9877513301086
S12,starved,710.226974598345
S13,working,711.0930886798374
S09,starved,741.283417927542
S11,starved,748.9498579303257
S06,starved,749.3138633342194
S11,working,751.9498579303257
S12,working,754.226974598345
S07,starved,752.8233696802356
S07,working,753.8233696802356
S08,starved,755.6638420033065
S09,working,758.283417927542
S08,working,757.6638420033065
S13,starved,757.0930886798374
S06,working,762.3138633342194
S11,starved,803.9498579303257
S07,starved,809.8233696802356
S11,working,812.9498579303257
S13,working,810.0930886798374
S09,starved,814.283417927542
S08,starved,814.6638420033065
S09,working,817.283417927542
S08,working,816.6638420033065
S06,starved,820.3138633342194
S06,working,821.3138633342194
S07,working,826.8233696802356
S12,starved,864.226974598345
S06,starved,862.3138633342194
S11,starved,865.9498579303257
S09,starved,868.283417927542
S12,working,872.226974598345
S11,working,872.9498579303257
S06,working,884.3138633342194
S08,starved,885.6638420033065
S09,working,888.283417927542
S08,working,903.6638420033065
S16,working,905.2121579975744
S13,starved,918.0930886798374
S12,starved,933.226974598345
S13,working,933.0930886798374
S06,starved,936.3138633342194
S09,starved,944.283417927542
S12,working,947.226974598345
S06,working,948.3138633342194
S07,down,950.8233696802356
S09,working,963.283417927542
S16,starved,961.2121579975744
S17,working,969.8628592071015
S13,starved,986.0930886798374
S11,starved,990.9498579303257
S16,working,1007.2121579975744
S11,working,1010.9498579303257
S13,working,1008.0930886798374
S17,starved,1017.8628592071015
S09,starved,1016.283417927542
S18,working,1016.7159578408526
S08,starved,1025.6638420033064
S09,working,1028.283417927542
S06,starved,1051.3138633342194
S13,starved,1054.0930886798374
S03,starved,1055.1131322553094
S06,working,1059.3138633342194
S03,working,1059.1131322553094
S16,starved,1060.2121579975744
S12,starved,1064.226974598345
S17,working,1068.8628592071013
S13,working,1063.0930886798374
S16,working,1070.2121579975744
S18,starved,1071.7159578408525
S09,starved,1074.283417927542
S11,starved,1076.9498579303258
S19,working,1080.6093997249295
S12,working,1084.226974598345
S11,working,1084.9498579303258
S06,blocked,1109.3138633342194
S17,starved,1113.8628592071013
S03,starved,1109.1131322553094
S03,working,1112.1131322553094
S18,working,1113.7159578408525
S16,starved,1119.2121579975744
S17,working,1126.8628592071013
S13,starved,1123.0930886798374
S19,starved,1132.6093997249295
S16,working,1130.2121579975744
S11,starved,1133.9498579303258
S20,working,1132.9416032917932
S12,starved,1140.226974598345
S12,working,1142.226974598345
S13,working,1139.0930886798374
S11,working,1147.9498579303258
S03,starved,1165.1131322553094
S18,starved,1167.7159578408525
S03,working,1168.1131322553094
S17,starved,1173.8628592071013
S19,working,1176.6093997249295
S18,working,1173.7159578408525
S13,starved,1180.0930886798374
S20,starved,1183.9416032917932
S16,starved,1188.2121579975744
S17,working,1195.8628592071013
S12,starved,1201.226974598345
S11,starved,1200.9498579303258
S16,working,1200.2121579975744
S13,working,1200.0930886798374
S12,working,1206.226974598345
S03,starved,1221.1131322553094
S19,starved,1226.6093997249295
S20,working,1225.9416032917932
S18,starved,1225.7159578408525
S03,working,1227.1131322553094
S19,working,1235.6093997249295
S17,starved,1242.8628592071013
S18,working,1242.7159578408525
S12,starved,1256.226974598345
S13,starved,1253.0930886798374
S13,working,1255.0930886798374
S16,starved,1261.2121579975744
S07,working,1262.8233696802356
S16,working,1262.2121579975744
S17,working,1269.8628592071013
