run,station_id,tool_id,program_id,vin,t_s,target_nm,spec_low_nm,spec_high_nm,torque_nm,angle_deg,current_a,temp_c,cycle_s,result_status
L1_run_001,S04,L1_run_001-TS04,PF100,V000001,225.0,54.5,48.45,60.54,53.558,95.226,12.252,36.981,2.99,OK
L1_run_001,S04,L1_run_001-TS04,PF100,V000002,331.0,54.5,48.45,60.54,57.156,92.083,11.489,37.169,2.887,OK
L1_run_001,S04,L1_run_001-TS04,PF100,V000003,391.0,54.5,48.45,60.54,55.247,89.975,10.716,36.352,3.121,OK
L1_run_001,S04,L1_run_001-TS04,PF100,V000004,443.0,54.5,48.45,60.54,56.259,94.9,11.732,36.848,3.347,OK
L1_run_001,S04,L1_run_001-TS04,PF100,V000005,506.0,54.5,48.45,60.54,53.142,93.442,11.434,37.934,3.024,OK
L1_run_001,S04,L1_run_001-TS04,PF100,V000006,575.0,54.5,48.45,60.54,55.322,94.543,11.52,36.541,3.577,OK
L1_run_001,S04,L1_run_001-TS04,PF100,V000007,642.0,54.5,48.45,60.54,55.203,90.276,11.854,35.504,3.278,OK
L1_run_001,S04,L1_run_001-TS04,PF100,V000008,696.0,54.5,48.45,60.54,57.234,90.59,11.52,36.363,2.766,OK
L1_run_001,S04,L1_run_001-TS04,PF100,V000009,748.0,54.5,48.45,60.54,52.434,94.397,11.418,38.581,3.379,OK
L1_run_001,S04,L1_run_001-TS04,PF100,V000010,813.0,54.5,48.45,60.54,56.494,93.071,11.686,32.763,3.308,OK
L1_run_001,S04,L1_run_001-TS04,PF100,V000011,865.0,54.5,48.45,60.54,52.393,93.996,12.311,38.494,2.8,OK
L1_run_001,S04,L1_run_001-TS04,PF100,V000012,923.0,54.5,48.45,60.54,54.058,90.855,11.246,39.432,3.001,OK
L1_run_001,S04,L1_run_001-TS04,PF100,V000013,982.0,54.5,48.45,60.54,55.07,95.506,11.476,34.162,3.169,OK
L1_run_001,S04,L1_run_001-TS04,PF100,V000014,1041.0,54.5,48.45,60.54,56.808,87.43,11.508,36.881,2.902,OK
L1_run_001,S04,L1_run_001-TS04,PF100,V000015,1098.0,54.5,48.45,60.54,54.411,93.659,11.741,35.393,2.746,OK
L1_run_001,S04,L1_run_001-TS04,PF100,V000016,1162.0,54.5,48.45,60.54,55.195,93.475,12.816,36.23,3.374,OK
L1_run_001,S04,L1_run_001-TS04,PF100,V000017,1221.0,54.5,48.45,60.54,53.285,92.346,11.597,36.73,2.834,OK
L1_run_001,S04,L1_run_001-TS04,PF100,V000018,1291.0,54.5,48.45,60.54,56.225,86.924,12.027,36.327,3.479,OK
