vin,station_id,event,t_s
V000001,S01,in,0.5970176258893862
V000002,S01,in,58.597017625889386
V000001,S01,out,58.597017625889386
V000001,S02,in,61.1341329871748
V000001,S02,out,111.13413298717481
V000002,S01,out,111.59701762588939
V000003,S01,in,111.59701762588939
V000001,S03,in,113.11313225530952
V000002,S02,in,114.13413298717481
V000002,S02,out,164.1341329871748
V000003,S01,out,164.59701762588938
V000004,S01,in,164.59701762588938
V000003,S02,in,167.1341329871748
V000002,S03,in,169.11313225530952
V000001,S03,out,169.11313225530952
V000001,S04,in,173.87520767080522
V000002,S03,out,217.11313225530952
V000005,S01,in,220.59701762588938
V000004,S01,out,220.59701762588938
V000004,S02,in,223.1341329871748
V000003,S02,out,223.1341329871748
V000002,S04,in,224.87520767080522
V000001,S04,out,224.87520767080522
V000001,S05,in,224.98775133010864
V000003,S03,in,225.11313225530952
V000001,S05,out,271.98775133010867
V000003,S03,out,277.11313225530955
V000001,S06,in,278.3138633342193
V000006,S01,in,278.5970176258894
V000005,S01,out,278.5970176258894
V000004,S02,out,283.1341329871748
V000005,S02,in,283.1341329871748
V000004,S03,in,284.11313225530955
V000001,S06,out,328.3138633342193
V000007,S01,in,330.5970176258894
V000006,S01,out,330.5970176258894
V000003,S04,in,330.87520767080525
V000002,S04,out,330.87520767080525
V000002,S05,in,331.98775133010867
V000001,S07,in,333.8233696802356
V000004,S03,out,338.11313225530955
V000005,S02,out,341.1341329871748
V000006,S02,in,341.1341329871748
V000005,S03,in,343.11313225530955
V000002,S05,out,380.98775133010867
V000002,S06,in,385.3138633342193
V000001,S07,out,389.8233696802356
V000003,S04,out,390.87520767080525
V000004,S04,in,390.87520767080525
V000003,S05,in,391.98775133010867
V000007,S01,out,392.5970176258894
V000008,S01,in,392.5970176258894
V000001,S08,in,396.6638420033065
V000005,S03,out,397.11313225530955
V000007,S02,in,398.1341329871748
V000006,S02,out,398.1341329871748
V000006,S03,in,399.11313225530955
V000002,S06,out,432.3138633342193
V000002,S07,in,438.8233696802356
V000004,S04,out,442.87520767080525
V000005,S04,in,442.87520767080525
V000009,S01,in,448.5970176258894
V000008,S01,out,448.5970176258894
V000007,S02,out,449.1341329871748
V000008,S02,in,451.1341329871748
V000001,S08,out,452.6638420033065
V000007,S03,in,453.11313225530955
V000006,S03,out,453.11313225530955
V000001,S09,in,456.28341792754196
V000003,S05,out,457.98775133010867
V000004,S05,in,457.98775133010867
V000003,S06,in,463.3138633342193
V000009,S01,out,494.5970176258894
V000010,S01,in,494.5970176258894
V000002,S07,out,503.8233696802356
V000007,S03,out,504.11313225530955
V000005,S04,out,505.87520767080525
V000006,S04,in,505.87520767080525
V000001,S09,out,506.28341792754196
V000008,S02,out,508.1341329871748
V000009,S02,in,508.1341329871748
V000008,S03,in,510.11313225530955
V000002,S08,in,510.6638420033065
V000003,S06,out,511.3138633342193
V000004,S05,out,511.98775133010867
V000005,S05,in,511.98775133010867
V000004,S06,in,517.3138633342194
V000003,S07,in,517.8233696802356
V000010,S01,out,553.5970176258894
V000011,S01,in,553.5970176258894
V000009,S02,out,556.1341329871748
V000010,S02,in,556.1341329871748
V000002,S08,out,561.6638420033065
V000004,S06,out,563.3138633342194
V000002,S09,in,565.283417927542
V000005,S05,out,567.9877513301086
V000008,S03,out,568.1131322553096
V000009,S03,in,568.1131322553096
V000003,S07,out,569.8233696802356
V000004,S07,in,569.8233696802356
V000005,S06,in,574.3138633342194
V000007,S04,in,574.8752076708053
V000006,S04,out,574.8752076708053
V000006,S05,in,575.9877513301086
V000003,S08,in,577.6638420033065
V000001,S11,in,583.9498579303257
V000012,S01,in,609.5970176258894
V000011,S01,out,609.5970176258894
V000011,S02,in,613.1341329871748
V000010,S02,out,613.1341329871748
V000005,S06,out,618.3138633342194
V000002,S09,out,623.283417927542
V000009,S03,out,625.1131322553096
V000010,S03,in,625.1131322553096
V000003,S08,out,628.6638420033065
V000003,S09,in,631.283417927542
V000004,S07,out,631.8233696802356
V000005,S07,in,631.8233696802356
V000004,S08,in,639.6638420033065
